system_code,name,manged_by,category,grades,open_date,address,city,state,zip,principal_name,district_code,pr_overall,progress_grade,performance_grade,env_grade,readiness_grade,2012_grade,2011_grade,2010_grade,,,,,,,,
02M183,P.S. 183 Robert L. Stevenson,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1904,419 EAST 66 STREET,MANHATTAN,NY,10065,Tara Napoleoni,2,A,A,A,C,.,B,B,B,,,,,,,,
02M198,P.S. 198 Isador E. Ida Straus,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 1960,1700 3 AVENUE,MANHATTAN,NY,10128,Nancy Emerick,2,F,D,F,F,.,D,C,B,,,,,,,,
02M212,P.S. 212 Midtown West,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1999,328 WEST 48 STREET,MANHATTAN,NY,10036,Ryan Bourke,2,A,B,A,A,.,B,B,A,,,,,,,,
02M217,P.S./I.S. 217 Roosevelt Island,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 1999,645 MAIN STREET,MANHATTAN,NY,10044,MANDANA BECKMAN,2,B,B,B,C,.,D,D,B,,,,,,,,
02M225,Ella Baker School,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08",Jul 1 1999,317 EAST 67 STREET,MANHATTAN,NY,10065,LAURA GARCIA,2,C,C,C,C,.,C,C,B,,,,,,,,
02M234,P.S. 234 Independence School,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1988,292 GREENWICH STREET,MANHATTAN,NY,10007,LISA RIPPERGER,2,B,C,B,B,.,C,A,B,,,,,,,,
02M255,M.S. 255 Salk School of Science,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jun 21 2000,319 EAST 19 STREET,MANHATTAN,NY,10003,Rhonda Perry,2,A,A,A,A,.,A,A,B,,,,,,,,
02M260,M.S. 260 Clinton School Writers & Artists,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",Jun 21 2000,425 WEST 33RD STREET,MANHATTAN,NY,10001,Jonathan Levin,2,A,A,A,A,.,A,B,A,,,,,,,,
02M267,"East Side Elementary School, PS 267",DOE,Elementary,"PK,0K,01,02,03,SE",Jul 1 2010,213 EAST 63RD STREET,MANHATTAN,NY,10065,"MCEVOY, MEDEA",2,A,A,A,B,.,C,A,.,,,,,,,,
02M276,BATTERY PARK CITY SCHOOL,DOE,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE",Jul 1 2009,55 BATTERY PLACE,MANHATTAN,NY,10001,THERESA RUYTER,2,B,C,A,C,B,A,A,A,,,,,,,,
02M280,Manhattan Early College School for Advertising (P-Tech),DOE,High school,"09,10,11,12",Jul 1 2014,411 PEARL STREET,MANHATTAN,NY,10038,,2,A,A,A,A,.,C,B,B,,,,,,,,
02M281,The River School,DOE,Elementary,"PK,0K,01,02,03,04,05,SE",Jul 1 2013,425 EAST 35TH STREET,NEW YORK,NY,10016,Nicole Ziccardi Yerk,2,A,B,A,A,.,A,A,A,,,,,,,,
02M282,Urban Assembly Maker Academy,DOE,High school,"09,10,11,12",Jul 1 2014,411 PEARL STREET,MANHATTAN,NY,10038,LUKE BAUER,2,C,C,C,A,C,B,B,A,,,,,,,,
02M288,Food and Finance High School,DOE,High school,"09,10,11,12,SE",Sep 8 2004,525 WEST 50TH STREET,MANHATTAN,NY,10019,ROGER TURGEON,2,A,B,B,B,C,A,A,A,,,,,,,,
02M289,I.S. 289,DOE,Junior High-Intermediate-Middle,"06,07,08,SE",May 27 1998,201 WARREN STREET,MANHATTAN,NY,10282,Zeynep Ozkan,2,A,B,A,C,B,A,A,A,,,,,,,,
02M290,P.S. 290 Manhattan New School,DOE,Elementary,"0K,01,02,03,04,05,SE",Jul 1 1999,311 EAST 82 STREET,MANHATTAN,NY,10028,SHARON HILL,2,C,C,C,C,B,C,B,B,,,,,,,,
02M294,Essex Street Academy,DOE,High school,"09,10,11,12,SE",Sep 8 2004,350 GRAND STREET,MANHATTAN,NY,10002,Erin Carstensen,2,B,B,B,B,A,A,B,B,,,,,,,,
02M296,High School of Hospitality Management,DOE,High school,"09,10,11,12,SE",Sep 8 2004,525 WEST 50TH STREET,MANHATTAN,NY,10019,YVES MOMPOINT JR,2,B,C,B,C,B,A,C,B,,,,,,,,
02M298,Pace High School,DOE,High school,"09,10,11,12,SE",Sep 8 2004,100 HESTER STREET,MANHATTAN,NY,10002,YVETTE SY,2,C,C,B,B,B,A,A,A,,,,,,,,
02M300,"Urban Assembly School of Design and Construction, The",DOE,High school,"09,10,11,12,SE",Sep 8 2004,525 WEST 50TH STREET,MANHATTAN,NY,10019,Matthew Willoughby,2,A,A,A,A,.,A,A,A,,,,,,,,
02M303,"Facing History School, The",DOE,High school,"09,10,11,12,SE",Jul 1 2005,525 WEST 50TH STREET,MANHATTAN,NY,10019,Dana Panagot,2,B,B,A,C,A,C,C,D,,,,,,,,
